Game,ID
"Cross Romance - Koi to Mahjong to Hanafuda to (Japan)",T-7103G   V1.002
"Cross Tantei Monogatari - Motsureta Nanatsu no Labyrinth (Japan) (Disc 1)",T-36401G  V1.000
"Cross Tantei Monogatari - Motsureta Nanatsu no Labyrinth (Japan) (Disc 2)",T-36401G  V1.002
"Cross Tantei Monogatari (Japan) (Demo 1)",6106876   V1.000
"Cross Tantei Monogatari (Japan) (Demo 2)",6106877   V1.002
"Crow, The - City of Angels (Europe)",T-8124H-50V1.000
"Crow, The - City of Angels (Germany)",T-8124H-18V1.000
"Crow, The - City of Angels (Japan)",T-8123G   V1.000
"Crow, The - City of Angels (USA)",T-8124H   V1.000
"Crows - The Battle Action for SegaSaturn (Japan)",T-16806G  V1.001
"Crusader - No Remorse (Europe)",T-5014H   V1.000
"Crusader - No Remorse (France)",T-5014H   V1.000
"Crusader - No Remorse (Germany)",T-5014H   V1.000
"Crusader - No Remorse (USA)",T-5014H   V1.000
"Crypt Killer (Europe) (R)",T-9509H-50V1.001
"Crypt Killer (USA)",T-9509H   V1.000
"Cube Battler - Story of Anna (Japan)",T-21006G  V1.001
"Cube Battler - Story of Shou (Japan)",T-21004G  V1.001
"Cubic Gallery - Edy & Disy (Japan)",T-19401G  V1.005
"Culdcept (Japan) (Rev A) (10M)",T-31401G  V1.004
"Culdcept (Japan) (Rev B) (20M)",T-31401G  V2.000
"Custom Web Browser (Version 2) (USA)",T-319-01H V1.011
"Custom Web Browser (Version 3.0) (USA)",T-319-01H V3.135
"Cyber Doll (Japan)",T-22401G  V1.400
"Cyber Speedway (Europe) (RE)",MK-81205 V1.000 
"Cyber Speedway (USA)",MK-81204V1.004  
"Cyberbots - Fullmetal Madness (Japan) (1M)",T-1217G   V1.002
"Cyberbots - Fullmetal Madness (Japan) (2M)",T-1217G   V1.002
"Cyberia (Europe) (En,Fr,De)",T-12508H  V1.000
"Cyberia (Japan)",T-12501G  V1.000
"Cyberia (USA) (En,Fr,De)",T-12508H  V1.000
"D (Europe) (Disc I)",T-8106H-50V1.000
"D (Europe) (Disc II)",T-8106H-50V1.000
"D (France) (Disc I)",T-8106H-50V1.000
"D (France) (Disc II)",T-8106H-50V1.000
"D (Germany) (Disc I)",T-8106H-50V1.000
"D (Germany) (Disc II)",T-8106H-50V1.000
"D (USA) (Disc I)",T-8106H   V1.000
"D (USA) (Disc I) (Beta) (1996-02-05)",T-8106H   V1.000
"D (USA) (Disc II)",T-8106H   V1.000
"D (USA) (Disc II) (Beta) (1996-02-05)",T-8106H   V1.000
"D no Shokutaku (Japan) (Disc 1)",T-8101G  V1.000 
"D no Shokutaku (Japan) (Disc 2)",T-8101G  V1.000 
"D-Xhird (Japan) (1M)",T-10307G  V1.002
"D-Xhird (Japan) (2M)",T-10307G  V1.002
"Daibouken - Great Adventure - St. Elmos no Kiseki (Japan)",T-23101G  V1.000
"Daikoukai Jidai Gaiden (Japan)",T-7657G   V1.000
"Daikoukai Jidai II (Japan)",T-7628G   V1.001
"Daisenryaku - Strong Style (Japan)",T-21202G  V2.3  
"Daisuki (Japan) (Disc 1)",T-18510G  V1.002
"Daisuki (Japan) (Disc 2) (Special)",T-18510G  V1.002
"Daitoride (Japan)",T-29201G  V1.001
"Darius Gaiden (Europe)",T-8123H-50V1.000
"Darius Gaiden (Japan) (2M)",T-1102G   V1.001
"Darius Gaiden (Japan) (3M)",T-1102G   V1.001
"Darius Gaiden (USA)",T-8123H   V1.000
"Darius Gaiden (USA) (Beta) (1995-12-21)",T-8123H   V1.000
"Darius II (Europe)",MK-81085  V1.000
"Darius II (Japan) (2M)",T-1104G   V1.003
"Dark Hunter Ge - Youma no Mori (Japan)",T-7632G   V1.002
"Dark Hunter Jou - Ijigen Gakuen (Japan)",T-7631G   V1.000
"Dark Legend (USA)",T-1305H   V1.002
"Dark Savior (Europe)",MK-81304  V1.000
"Dark Savior (Japan)",T-22101G  V1.000
"Dark Savior (Japan) (Demo 2)",T-22101G  V0.500
"Dark Savior (USA)",MK-81304  V1.000
"Dark Seed II (Japan)",T-36101G  V1.004
"Darklight Conflict (Europe) (En,Fr,De,Es,It,Sv)",T-5022H   V1.000
"Darklight Conflict (USA) (En,Fr,De,Es,It,Sv)",T-5022H   V1.000
"Darkseed (Japan)",T-18501G  V1.001
"Daytona USA - Championship Circuit Edition (Europe) (Rev A)",MK-81213  V1.006
"Daytona USA - Championship Circuit Edition (USA)",MK-81213  V1.001
"Daytona USA - Circuit Edition (Japan)",GS-9100   V1.001
"Daytona USA (Europe)",MK_8120050V1.000
"Daytona USA (Europe) (1S)",MK_8120050V1.000
"Daytona USA (Europe) (2S)",MK_8120050V1.000
"Daytona USA (Japan)",GS-9013   V1.000
"Daytona USA (Japan) (Demo) (2M)",GS-9013   V1.000
"Daytona USA (USA)",MK-81200  V1.000
"Daytona USA C.C.E. Net Link Edition (USA)",MK-81218  V1.000
"Dead or Alive (Japan) (1M)",T-3603G   V1.001
"Dead or Alive (Japan) (2M)",T-3603G   V1.001
"Dead or Alive (Japan) (Rev A) (10M)",T-3603G   V1.002
"Deadalus (Japan) (1M)",SG-9008   V1.000
"Deadalus (Japan) (2A)",SG-9008   V1.000
"Deadalus (Japan) (3A)",SG-9008   V1.000
"Death Crimson (Japan)",T-23202G  V1.000
"Death Throttle - Kakuzetsu Toshi kara no Dasshutsu (Japan)",T-26403G  V1.000
"DeathMask (Japan) (Disc 1)",T-22701G  V1.300
"DeathMask (Japan) (Disc 2)",T-22701G  V1.300
"DeathMask (Japan) (Disc 3)",T-22701G  V1.300
"DecAthlete (Japan) (1M)",GS-9096   V1.001
"DecAthlete (Japan) (2M)",GS-9096   V1.001
"DecAthlete (Japan) (Demo)",GS-9096   V1.000
"DecAthlete (Japan) (Rev A) (10M)",GS-9096   V1.004
"DecAthlete (Japan) (Rev B) (20M)",GS-9096   V1.005
"DecAthlete (USA)",MK-81115  V1.000
"DecAthlete for SegaNet (Japan)",GS-7110   V1.100
"Deep Fear (Europe) (Disc 1)",MK-81804  V1.001
"Deep Fear (Europe) (Disc 2)",MK-81804  V1.001
"Deep Fear (Japan) (Demo)",6106957   V1.002
"Deep Fear (Japan) (Disc 1)",GS-9189   V1.017
"Deep Fear (Japan) (Disc 2)",GS-9189   V1.017
"Deep Fear (USA) (Disc 1) (Unl)",MK-81804  V1.000
"Deep Fear (USA) (Disc 2) (Unl)",MK-81804  V1.000
"Defcon 5 - Peace Has a Price... (USA)",T-1301G   V1.000
"Defcon 5 (Europe)",T-25401H  V1.002
"Defcon 5 (France)",T-25401H  V1.002
"Defcon 5 (Japan)",T-1301H   V1.000
"DeJig - Aqua World (Japan)",T-30303G  V1.000
"DeJig - Lassen - Art Collection (Japan)",T-30304G  V1.000
"DeJig - McKnight - Art Collection (Japan)",T-30305G  V1.000
"DeJig - Tin Toy (Japan)",T-30302G  V1.000
"Deka 4-ku - Tough the Truck (Japan)",T-4313G   V1.001
"Delisoba Deluxe (Japan)",6106803   V1.002
"Dennou Senki - Virtual On - Cyber Troopers (Japan)",GS-9099   V1.000
"Dennou Senki - Virtual On - Cyber Troopers (Japan) (Demo)",610-6443  V1.000
"Dennou Senki - Virtual On - Cyber Troopers (Korea)",MK-81042  V1.000
"Dennou Senki - Virtual On - Cyber Troopers for SegaNet (Japan)",GS-7106   V1.002
"Denpa Shounen-teki Game (Japan) (Rerelease)",T-14318G  V1.000
"Denpa Shounen-teki Game (Japan) (Rev A)",T-14316G  V2.000
"Densetsu no Ogre Battle (Japan)",T-5305G   V1.001
"Densha de Go! EX (Japan)",T-10317G  V1.001
"Derby Analyst (Japan)",T-20505G  V1.001
"Derby Stallion (Japan)",T-2113G   V1.001
"Deroon Dero Dero (Japan) (1M)",T-3601G   V1.000
"Desire (Japan) (Disc 1)",T-15031G  V1.000
"Desire (Japan) (Disc 2) (1M)",T-15031G  V1.000
"Desire (Japan) (Disc 2) (2M)",T-15031G  V1.000
"Destruction Derby (Europe)",T-11303H  V2.900
"Destruction Derby (Japan)",T-18604G  V3.200
